Word,total_frequency,ItemNo,Condition,ITEMNO,...4,noise,stim,width,height,blackPx,luminance,WordPhonetic,WLp,WordLenPhonetic,WLa,WLc,WordLenXlsx,Stem,CatViolPOS,SpellingStem,CRating,stemFreq,log_stemFreq,stemFreq_new,log_stemFreq_new,Types,Exclude,wordFreq,log_wordFreq,Tp,log_Tp,Tp_new,log_Tp_new,WLp_O,WLc_O,WLa_O,Luminance_O,Width_O,complexity
দুর্ঘটনা,22215,G02,Gramm,G02,8,a,দুর্ঘটনা,388,200,15676,127.3249532,d̪urgʱɔtona,9,12,4,8,8,ঘটনা,NA,NA,2.4,1517.89842,3.18124270890493,1502.719,3.17687777755378,2068,NA,22215,4.34664631757689,14.7832029807303,1.16976854002311,6.65460408765711E-05,-4.17687777755378,0.0614495544060513,-0.0654046058538652,-0.0299478253895282,0.0347679644208138,-0.0719810436890914,45.4137858015593
দুর্নীতি,17499,G07,Gramm,G07,8,a,দুর্নীতি,362,200,17178,126.4278282,d̪urnit̪i,7,10,3,8,8,নীতি,NA,NA,1.566666667,732.6014922,2.86486779892253,791.21,2.89829176761513,5729,NA,17499,4.24301323114968,22.1167578771755,1.34472146353455,0.00012638869579504,-3.89829176761513,0.0477940978713732,0.0550905782006281,-0.033507261957935,0.0693153416784151,0.00457460862266115,50.6930637205248
শিশুদের,9087,F08,Filler,F08,7,a,শিশুদের,437,200,16975,125.977275,ʃiʃud̪er,7,8,4,7,7,শিশু,NA,NA,NA,532.1417385,2.72602732411797,457.642,2.66052587490038,2994,NA,9087,3.95842052805252,19.8561320857788,1.29789465315214,0.00021851141285109,-3.66052587490038,0.0477940978713732,-0.00451238709829112,0.0600319735860601,0.0430102142129318,-0.0132023625989006,47.8144895664985
প্রতিরক্ষা,8767,G22,Gramm,G22,10,a,প্রতিরক্ষা,493,158,19673,122.3023259,prot̪irɔkkʰa,10,13,4,10,10,রক্ষা,NA,NA,2.1,311.7778786,2.49384529769448,283.718,2.45288688973555,2480,NA,8767,3.94285100655434,30.9004011025032,1.48996411681879,0.00035246265658153,-3.45288688973555,0.0682772826733903,-0.00644626728327395,-0.0747768593123954,-0.0369717680911141,0.0255270932788157,56.4287924056864
প্রতিশ্রুতি,7908,G47,Gramm,G47,11,a,প্রতিশ্রুতি,518,158,21239,125.2541054,prot̪isrut̪i,10,13,4,11,11,শ্রুতি,NA,NA,1.9,70.65621405,1.84915036305575,65.004,1.81294008163483,987,NA,7908,3.89806666064163,121.654052058335,2.08512657900681,0.0592497848132423,-1.22731322261054,0.0682772826733903,0.0531566980156453,-0.0746696156024436,-0.0591064145916015,0.0381800471882996,61.7398401979023
প্রতিপক্ষ,6458,G03,Gramm,G03,9,a,প্রতিপক্ষ,454,158,17605,125.7319405,prot̪ipɔkkʰo,10,13,4,9,9,পক্ষ,NA,NA,1.833333333,1076.558107,3.03203747574651,925.84,2.96653594011498,5453,NA,6458,3.81009804068114,6.97528730666206,0.843562100566166,0.00010801002333016,-3.96653594011498,0.0682772826733903,-0.0660492325821932,-0.0748841030223473,0.00685619993400478,-0.00241263778912408,51.2132491455177
পাহাড়ের,4390,F19,Filler,F19,8,a,পাহাড়ের,489,169,17213,127.9811065,pahaɽer,7,8,4,8,8,পাহাড়,NA,NA,NA,169.0312372,2.22796697023493,148.747,2.17244821543195,1354,NA,4390,3.64246452024212,29.5132002662239,1.47001630481017,0.00307485431638957,-2.51217545585179,0.0477940978713732,0.0550905782006281,0.060139217296012,0.0176530523137116,0.0315968044858556,49.6967625476788
দুর্ভোগ,3378,G35,Gramm,G35,7,a,দুর্ভোগ,366,200,14258,134.0667162,d̪urbʱog,6,9,3,7,7,ভোগ,NA,NA,2.766666667,212.3111563,2.32697281560843,191.08,2.28121523261132,4382,NA,3378,3.52865964523499,17.6784592840695,1.24744441262367,0.00052334100900146,-3.28121523261132,0.0409663696040342,0.0557352049289555,0.0114290156748831,0.117779843502154,0.0203429705710188,44.3109186738373
কাগজপত্র,3059,F22,Filler,F22,8,a,কাগজপত্র,530,158,18151,122.3493421,kagoɟpɔt̪ro,10,12,5,8,8,কাগজ,NA,NA,NA,107.6818873,2.0321426586629,91.53,1.96156346236207,622,NA,3059,3.48557947698468,33.4207363705889,1.52401601462261,0.0160424030481809,-1.79473057667553,0.0682772826733903,-0.125652197881112,0.0186551325216479,-0.0294163105596405,-0.0196785644063406,54.1779544523651
বাবাকে,3021,F01,Filler,F01,6,a,বাবাকে,417,160,14647,126.5653647,babake,6,6,3,6,6,বাবা,NA,NA,NA,466.6832539,2.66902221727833,508.685,2.70644893143266,2369,NA,3021,3.48015072527328,5.93884230909109,0.773701793840619,0.00019658531311125,-3.70644893143266,0.0409663696040342,-0.0038677603699637,0.0113217719649312,0.124448382338885,0.097734349293905,40.9280139007658
কাঠের,2527,F02,Filler,F02,5,a,কাঠের,371,160,14213,126.1998128,katʰer,5,6,3,5,5,কাঠ,NA,NA,NA,227.1592987,2.35633051923316,249.875,2.39772280712617,4660,NA,2527,3.40260524191991,10.1130565282641,1.00488243479374,0.00040020010005002,-3.39772280712617,0.0341386413366951,-0.00322313364163697,0.0562580495977493,0.145702076358843,0.0516832345176457,39.7747484228152
