Participant,RT,ACC,Condition,Item.no,yesButton,Source,Prefix
5997836,722.3000000119209,1,Gramm,209,left,Prolific,duh
5997836,539.1999999880791,0,CatViol,18,left,Prolific,duh
5997836,670.5999999642372,1,SemViol,285,left,Prolific,proti
5997836,734,1,CatViol,53,left,Prolific,duh
5997836,617.7000000476837,0,SemViol,281,left,Prolific,proti
5997836,603.6999999880791,0,SemViol,288,left,Prolific,proti
5997836,1090.699999988079,1,SemViol,303,left,Prolific,duh
5997836,1129.699999988079,1,Gramm,186,left,Prolific,duh
5997836,783.3999999761581,1,Gramm,169,left,Prolific,duh
5997836,596.5,1,Gramm,173,left,Prolific,proti
5997836,783.5999999642372,0,CatViol,10,left,Prolific,duh
5997836,1942.199999988079,1,CatViol,75,left,Prolific,duh
5997836,1722.7999999523165,0,SemViol,243,left,Prolific,proti
5997836,1445.2000000476835,0,CatViol,36,left,Prolific,proti
5997836,1968.4000000357628,1,SemViol,266,left,Prolific,duh
5997836,1045.600000023842,1,SemViol,253,left,Prolific,duh
5997836,1905.300000011921,0,CatViol,5,left,Prolific,proti
5997836,717.5999999642372,0,SemViol,269,left,Prolific,duh
5997836,1324.199999988079,0,CatViol,54,left,Prolific,duh
5997836,1601,1,Gramm,223,left,Prolific,proti
5997836,795.0999999642372,0,CatViol,3,left,Prolific,duh
5997836,732.4000000357628,0,CatViol,23,left,Prolific,duh
5997836,1010.1999999880792,1,SemViol,252,left,Prolific,proti
5997836,1225.899999976158,1,Gramm,181,left,Prolific,duh
5997836,904.100000023842,1,SemViol,263,left,Prolific,duh
5997836,663.6999999880791,1,Gramm,211,left,Prolific,duh
5997836,759.0999999642372,0,CatViol,57,left,Prolific,proti
5997836,688.3999999761581,1,Gramm,202,left,Prolific,duh
5997836,976.5,1,CatViol,38,left,Prolific,proti
5997836,1063.7000000476835,0,CatViol,16,left,Prolific,proti
5997836,1000.9000000357628,1,CatViol,74,left,Prolific,proti
5997836,1403.300000011921,1,CatViol,27,left,Prolific,proti
5997836,1039.600000023842,1,CatViol,1,left,Prolific,proti
5997836,904.2999999523164,1,CatViol,72,left,Prolific,proti
5997836,692.1999999880791,1,SemViol,295,left,Prolific,duh
5997836,777,0,CatViol,33,left,Prolific,duh
5997836,759.8999999761581,1,SemViol,284,left,Prolific,duh
5997836,1114.4000000357628,1,CatViol,66,left,Prolific,duh
5997836,667.1999999880791,1,Gramm,199,left,Prolific,proti
5997836,730.9000000357628,0,SemViol,234,left,Prolific,duh
5997836,824.9000000357628,1,CatViol,56,left,Prolific,duh
5997836,560.3000000119209,0,CatViol,43,left,Prolific,proti
5997836,436.199999988079,0,CatViol,46,left,Prolific,proti
5997836,325.69999998807907,0,CatViol,48,left,Prolific,proti
5997836,282.80000001192093,0,SemViol,257,left,Prolific,duh
5997836,673.5,0,CatViol,61,left,Prolific,proti
5997836,1374.100000023842,0,Gramm,188,left,Prolific,proti
5997836,1188.899999976158,0,Gramm,196,left,Prolific,proti
5997836,744.3999999761581,0,SemViol,242,left,Prolific,proti
5997836,698.8999999761581,1,Gramm,177,left,Prolific,proti
5997836,798.5999999642372,0,SemViol,282,left,Prolific,duh
5997836,902.2000000476836,0,CatViol,47,left,Prolific,proti
5997836,1256.399999976158,1,SemViol,304,left,Prolific,proti
5997836,1055.699999988079,1,SemViol,300,left,Prolific,duh
5997836,1065.399999976158,0,CatViol,13,left,Prolific,duh
5997836,865.7000000476837,1,SemViol,293,left,Prolific,proti
5997836,910.899999976158,1,SemViol,241,left,Prolific,proti
5997836,716.8000000119209,1,Gramm,221,left,Prolific,duh
5997836,862.7000000476837,1,CatViol,49,left,Prolific,proti
5997836,761.3000000119209,1,CatViol,24,left,Prolific,proti
5997836,580,0,Gramm,175,left,Prolific,duh
5997836,1489.600000023842,0,SemViol,264,left,Prolific,proti
5997836,1065.800000011921,0,CatViol,21,left,Prolific,proti
5997836,1453,1,SemViol,262,left,Prolific,duh
5997836,1599,1,SemViol,275,left,Prolific,proti
5997836,1490,1,CatViol,32,left,Prolific,proti
5997836,835.8000000119209,1,Gramm,203,left,Prolific,duh
5997836,630,0,SemViol,267,left,Prolific,duh
5997836,713.7000000476837,0,SemViol,233,left,Prolific,duh
5997836,633.1000000238419,1,Gramm,215,left,Prolific,proti
5997836,770.1999999880791,1,CatViol,29,left,Prolific,duh
5997836,581.5,1,SemViol,254,left,Prolific,proti
5997836,986.3000000119208,1,CatViol,58,left,Prolific,duh
5997836,716.7000000476837,0,CatViol,55,left,Prolific,duh
5997836,703.5,0,CatViol,50,left,Prolific,duh
5997836,904.3000000119208,1,Gramm,192,left,Prolific,proti
5997836,987.3000000119208,1,CatViol,51,left,Prolific,proti
5997836,1291.199999988079,1,CatViol,59,left,Prolific,duh
5997836,694.5999999642372,1,CatViol,63,left,Prolific,proti
5997836,766.8999999761581,1,Gramm,222,left,Prolific,proti
5997836,544.4000000357628,0,SemViol,273,left,Prolific,duh
5997836,1211.899999976158,1,Gramm,205,left,Prolific,proti
5997836,1196.199999988079,0,CatViol,31,left,Prolific,proti
5997836,789.6000000238419,1,SemViol,248,left,Prolific,duh
5997836,1030.4000000357628,1,SemViol,260,left,Prolific,proti
5997836,831.1999999880791,1,Gramm,224,left,Prolific,proti
5997836,1357.5,1,CatViol,9,left,Prolific,duh
5997836,858.3000000119209,1,SemViol,289,left,Prolific,proti
5997836,788.7000000476837,1,Gramm,171,left,Prolific,proti
5997836,393.2000000476837,1,Gramm,193,left,Prolific,duh
5997836,853.3000000119209,1,SemViol,249,left,Prolific,proti
