Participant,RT,ACC,Condition,Item.no,yesButton,Source,Prefix
5997836,722.3000000119209,1,Gramm,209,left,Prolific,duh
5997836,670.5999999642372,1,SemViol,285,left,Prolific,proti
5997836,734,1,CatViol,53,left,Prolific,duh
5997836,1090.699999988079,1,SemViol,303,left,Prolific,duh
5997836,1129.699999988079,1,Gramm,186,left,Prolific,duh
5997836,783.3999999761581,1,Gramm,169,left,Prolific,duh
5997836,596.5,1,Gramm,173,left,Prolific,proti
5997836,1045.600000023842,1,SemViol,253,left,Prolific,duh
5997836,1601,1,Gramm,223,left,Prolific,proti
5997836,1010.1999999880792,1,SemViol,252,left,Prolific,proti
5997836,1225.899999976158,1,Gramm,181,left,Prolific,duh
5997836,904.100000023842,1,SemViol,263,left,Prolific,duh
5997836,663.6999999880791,1,Gramm,211,left,Prolific,duh
5997836,688.3999999761581,1,Gramm,202,left,Prolific,duh
5997836,976.5,1,CatViol,38,left,Prolific,proti
5997836,1000.9000000357628,1,CatViol,74,left,Prolific,proti
5997836,1403.300000011921,1,CatViol,27,left,Prolific,proti
5997836,1039.600000023842,1,CatViol,1,left,Prolific,proti
5997836,904.2999999523164,1,CatViol,72,left,Prolific,proti
5997836,692.1999999880791,1,SemViol,295,left,Prolific,duh
5997836,759.8999999761581,1,SemViol,284,left,Prolific,duh
5997836,1114.4000000357628,1,CatViol,66,left,Prolific,duh
5997836,667.1999999880791,1,Gramm,199,left,Prolific,proti
5997836,824.9000000357628,1,CatViol,56,left,Prolific,duh
5997836,698.8999999761581,1,Gramm,177,left,Prolific,proti
5997836,1256.399999976158,1,SemViol,304,left,Prolific,proti
5997836,1055.699999988079,1,SemViol,300,left,Prolific,duh
5997836,865.7000000476837,1,SemViol,293,left,Prolific,proti
5997836,910.899999976158,1,SemViol,241,left,Prolific,proti
5997836,716.8000000119209,1,Gramm,221,left,Prolific,duh
5997836,862.7000000476837,1,CatViol,49,left,Prolific,proti
5997836,761.3000000119209,1,CatViol,24,left,Prolific,proti
5997836,1453,1,SemViol,262,left,Prolific,duh
5997836,1599,1,SemViol,275,left,Prolific,proti
5997836,1490,1,CatViol,32,left,Prolific,proti
5997836,835.8000000119209,1,Gramm,203,left,Prolific,duh
5997836,633.1000000238419,1,Gramm,215,left,Prolific,proti
5997836,770.1999999880791,1,CatViol,29,left,Prolific,duh
5997836,581.5,1,SemViol,254,left,Prolific,proti
5997836,986.3000000119208,1,CatViol,58,left,Prolific,duh
5997836,904.3000000119208,1,Gramm,192,left,Prolific,proti
5997836,987.3000000119208,1,CatViol,51,left,Prolific,proti
5997836,1291.199999988079,1,CatViol,59,left,Prolific,duh
5997836,694.5999999642372,1,CatViol,63,left,Prolific,proti
5997836,766.8999999761581,1,Gramm,222,left,Prolific,proti
5997836,1211.899999976158,1,Gramm,205,left,Prolific,proti
5997836,789.6000000238419,1,SemViol,248,left,Prolific,duh
5997836,1030.4000000357628,1,SemViol,260,left,Prolific,proti
5997836,831.1999999880791,1,Gramm,224,left,Prolific,proti
5997836,1357.5,1,CatViol,9,left,Prolific,duh
5997836,858.3000000119209,1,SemViol,289,left,Prolific,proti
5997836,788.7000000476837,1,Gramm,171,left,Prolific,proti
5997836,393.2000000476837,1,Gramm,193,left,Prolific,duh
5997836,853.3000000119209,1,SemViol,249,left,Prolific,proti
5997836,731.1999999880791,1,CatViol,39,left,Prolific,proti
5997836,802.8999999761581,1,CatViol,4,left,Prolific,proti
5997836,627.9000000357628,1,Gramm,214,left,Prolific,duh
5997836,732.5,1,CatViol,64,left,Prolific,proti
5997836,1074.800000011921,1,Gramm,228,left,Prolific,proti
5997836,1502.4000000357628,1,Gramm,216,left,Prolific,proti
5997836,706.1999999880791,1,Gramm,195,left,Prolific,proti
5997836,1602.9000000357628,1,CatViol,2,left,Prolific,duh
5997836,863,1,SemViol,287,left,Prolific,duh
5997836,1585.600000023842,1,CatViol,45,left,Prolific,duh
5997836,786.8000000119209,1,CatViol,42,left,Prolific,duh
5997836,706.8000000119209,1,Gramm,210,left,Prolific,duh
5997836,825,1,SemViol,301,left,Prolific,proti
5997836,593.3000000119209,1,SemViol,244,left,Prolific,proti
5997836,745.8000000119209,1,CatViol,76,left,Prolific,proti
5997836,804.8000000119209,1,SemViol,276,left,Prolific,duh
5997836,880.1999999880791,1,SemViol,251,left,Prolific,duh
5997836,619.0999999642372,1,Gramm,172,left,Prolific,proti
5997836,450.89999997615814,1,Gramm,204,left,Prolific,duh
5997836,786.3999999761581,1,Gramm,176,left,Prolific,proti
5997836,480.0999999642372,1,Gramm,190,left,Prolific,proti
5997836,670,1,Gramm,212,left,Prolific,duh
5997836,661.1000000238419,1,Gramm,187,left,Prolific,proti
5997836,1099.5,1,SemViol,245,left,Prolific,proti
5997836,1476.600000023842,1,Gramm,189,left,Prolific,duh
5997836,1056.899999976158,1,SemViol,286,left,Prolific,proti
5997836,938.5,1,SemViol,261,left,Prolific,proti
5997836,1601.199999988079,1,Gramm,206,left,Prolific,proti
5997836,911.1999999880792,1,SemViol,291,left,Prolific,duh
5997836,843.8999999761581,1,SemViol,277,left,Prolific,duh
5997836,463.5,1,Gramm,207,left,Prolific,proti
5997836,900.3999999761581,1,Gramm,182,left,Prolific,proti
5997836,629.6999999880791,1,Gramm,213,left,Prolific,duh
5997836,210.19999998807907,1,Gramm,183,left,Prolific,duh
5997836,501.60000002384186,1,Gramm,225,left,Prolific,duh
5997836,387.89999997615814,1,Gramm,184,left,Prolific,proti
5997836,503,1,Gramm,170,left,Prolific,duh
5997836,759.6999999880791,1,Gramm,185,left,Prolific,proti
5997836,739,1,CatViol,62,left,Prolific,duh
5997836,790.5,1,Gramm,200,left,Prolific,proti
5997836,768.7000000476837,1,SemViol,268,left,Prolific,duh
5997836,463.4000000357628,1,Gramm,226,left,Prolific,duh
5997836,440.300000011921,1,Gramm,217,left,Prolific,proti
5997836,421.699999988079,1,Gramm,201,left,Prolific,duh
5976580,1216,1,Gramm,209,left,Prolific,duh
5976580,1487,1,Gramm,219,left,Prolific,proti
5976580,1102.5,1,Gramm,221,left,Prolific,duh
5976580,835.9000000953674,1,Gramm,205,left,Prolific,proti
5976580,1441.2000000476835,1,SemViol,279,left,Prolific,proti
5976580,731.2000000476837,1,Gramm,186,left,Prolific,duh
5976580,1295.1999998092651,1,Gramm,179,left,Prolific,duh
5976580,1017.1999998092653,1,SemViol,230,left,Prolific,proti
5976580,970.7999999523164,1,CatViol,28,left,Prolific,duh
5976580,694.3999998569489,1,Gramm,172,left,Prolific,proti
5976580,1010.5,1,SemViol,252,left,Prolific,proti
5976580,1104.6000001430511,1,Gramm,192,left,Prolific,proti
5976580,407.90000009536743,1,Gramm,195,left,Prolific,proti
5976580,368,1,Gramm,220,left,Prolific,proti
5976580,366,1,Gramm,187,left,Prolific,proti
5976580,444.59999990463257,1,Gramm,208,left,Prolific,proti
5976580,370,1,Gramm,214,left,Prolific,duh
5976580,950.7000000476836,1,Gramm,212,left,Prolific,duh
5976580,384.59999990463257,1,Gramm,196,left,Prolific,proti
5976580,496,1,SemViol,245,left,Prolific,proti
5976580,700.2000000476837,1,Gramm,223,left,Prolific,proti
5976580,755.7999999523163,1,Gramm,180,left,Prolific,proti
5976580,535.5,1,Gramm,216,left,Prolific,proti
5976580,367.60000014305115,1,Gramm,213,left,Prolific,duh
5976580,520.5,1,SemViol,231,left,Prolific,proti
5976580,224.20000004768372,1,Gramm,215,left,Prolific,proti
5976580,351.09999990463257,1,Gramm,183,left,Prolific,duh
5976580,362.2999999523163,1,Gramm,181,left,Prolific,duh
5976580,727.3999998569489,1,SemViol,234,left,Prolific,duh
5976580,994.1000001430511,1,SemViol,301,left,Prolific,proti
5976580,1078.5,1,SemViol,265,left,Prolific,proti
5976580,515.2000000476837,1,Gramm,200,left,Prolific,proti
5976580,535.5999999046326,1,Gramm,199,left,Prolific,proti
5976580,1204.5,1,Gramm,184,left,Prolific,proti
5976580,1092.5,1,Gramm,217,left,Prolific,proti
5976580,1341.8000001907349,1,SemViol,288,left,Prolific,proti
5976580,865.2000000476837,1,SemViol,262,left,Prolific,duh
5976580,817.1000001430511,1,CatViol,53,left,Prolific,duh
5976580,915.2000000476836,1,Gramm,170,left,Prolific,duh
5976580,1052.9000000953674,1,Gramm,194,left,Prolific,proti
5976580,1218.4000000953674,1,Gramm,211,left,Prolific,duh
5976580,1279.9000000953674,1,CatViol,24,left,Prolific,proti
5976580,1122.5,1,Gramm,177,left,Prolific,proti
