ItemNo,Item.no,Target,Condition,ITEMNO,length,noise,stim,width,height,blackPx,luminance,Word,WordPhonetic,WLp,WordLenPhonetic,WLa,WLc,WordLenXlsx,Stem,CatViolPOS,SpellingStem,CRating,stemFreq_old,log_stemFreq_old,stemFreq,log_stemFreq,Tp,log_Tp,Types,Exclude,wordFreq,log_wordFreq,TP_old,log_TP_old,WLp_O,WLc_O,WLa_O,Luminance_O,Width_O,complexity
G01,169,দুর্নাম,Gramm,G01,7,a,দুর্নাম,309,200,12253,129.1549752,দুর্নাম,d̪urnam,6,8,4,7,7,নাম,NA,NA,2.666666667,2313.882616,3.364341323,1966.8,3.2937602,0.00005084401058,-4.2937602,19634,NA,0.1,-1,0.0000432,-4.364341323,0.0409663696,0.05573520493,0.1050754949,0.04413995173,-0.1747372626,35.65268808
G02,170,দুর্ঘটনা,Gramm,G02,8,a,দুর্ঘটনা,388,200,15676,127.3249532,দুর্ঘটনা,d̪urgʱɔtona,9,12,4,8,8,ঘটনা,NA,NA,2.4,1517.89842,3.181242709,1502.719,3.176877778,0.00006654604088,-4.176877778,2068,NA,0.1,-1,0.0000659,-4.181242709,0.06144955441,-0.06540460585,-0.02994782539,0.03476796442,-0.07198104369,45.4137858
F04,80,মানুষজন,Filler,F04,7,a,মানুষজন,517,200,19816,120.6349601,মানুষজন,manuʃɟɔn,8,8,5,7,7,মানুষ,NA,NA,6.333333333,1438.937015,3.158041784,1410.158,3.149267776,0.00007091403942,-4.149267776,3117,NA,0.1,-1,0.0000695,-4.158041784,0.05462182614,-0.06475997913,0.1086349315,-0.02242065725,-0.03531375506,54.768741
F05,81,ঘরবাড়ি,Filler,F05,7,a,ঘরবাড়ি,466,169,17778,130.1158271,ঘরবাড়ি,gʱɔrbaɽi,7,8,4,7,7,বাড়ি,NA,NA,6.733333333,1205.721114,3.081246866,1193.664,3.076882096,0.00008377566886,-4.076882096,8644,NA,0.1,-1,0.0000829,-4.081246866,0.04779409787,-0.004512387098,0.06003197359,0.05707907439,0.02253470146,51.3395598
C01,1,প্রতিটক,CatViol,C01,7,a,প্রতিটক,433,158,17477,124.3712428,প্রতিটক,prot̪itɔk,8,9,4,7,7,টক,NA,NA,NA,1115.869622,3.047613455,1004.283,3.001856111,0.00009957352659,-4.001856111,19408,NA,0.1,-1,0.0000896,-4.047613455,0.05462182614,-0.06475997913,0.01498845224,0.04722330598,-0.009545177772,50.73362733
G03,171,প্রতিপক্ষ,Gramm,G03,9,a,প্রতিপক্ষ,454,158,17605,125.7319405,প্রতিপক্ষ,prot̪ipɔkkʰo,10,13,4,9,9,পক্ষ,NA,NA,1.833333333,1076.558107,3.032037476,925.84,2.96653594,0.0001080100233,-3.96653594,5453,NA,0.1,-1,0.0000929,-4.032037476,0.06827728267,-0.06604923258,-0.07488410302,0.006856199934,-0.002412637789,51.21324915
C02,2,দুর্ভিন্ন,CatViol,C02,9,a,দুর্ভিন্ন,325,200,14764,121.0706524,দুর্ভিন্ন,d̪urbʱinno,8,10,3,9,9,ভিন্ন,NA,NA,NA,1041.088752,3.017487754,884.925,2.946906465,0.0001130039269,-3.946906465,2329,NA,0.1,-1,0.0000961,-4.017487754,0.05462182614,0.05444595147,-0.07844353959,0.02860743906,-0.05022011335,46.62041643
C03,3,দুর্মৃত,CatViol,C03,7,a,দুর্মৃত,286,200,12330,129.8984985,দুর্মৃত,d̪urmrit̪o,8,10,3,7,7,মৃত,Adj,NA,NA,918.5059478,2.963081973,1010.357,3.004474855,0.00009897491679,-4.004474855,10259,NA,0.1,-1,0.0001088724578,-3.963081973,0.05462182614,-0.06475997913,-0.07865802701,0.122955618,-0.0588831662,37.27821248
G04,172,প্রতিদান,Gramm,G04,8,a,প্রতিদান,455,158,17134,128.9302147,প্রতিদান,prot̪id̪an,8,11,4,8,8,দান,NA,NA,2.766666667,904.4194078,2.956369873,786.845,2.895889189,0.0001270898334,-3.895889189,15774,NA,0.1,-1,0.0001105681713,-3.956369873,0.05462182614,-0.005157013827,0.01509569595,0.03055225269,-0.00011172169,50.2003714
G05,173,প্রতিরোধ,Gramm,G05,9,a,প্রতিরোধ,504,160,19669,126.166496,প্রতিরোধ,prot̪irod̪ʱ,8,15,4,9,9,রোধ,NA,NA,2.6,741.5451465,2.870137597,719.299,2.856909457,0.0001390242444,-3.856909457,7606,NA,0.1,-1,0.0001348535561,-3.870137597,0.05462182614,0.05444595147,0.01520293966,-0.01101202599,0.03997257666,57.64545449
G06,174,দুরবস্থা,Gramm,G06,8,a,দুরবস্থা,404,200,15036,126.9923768,দুরবস্থা,d̪urbost̪ʰa,8,12,4,8,8,অবস্থা,NA,NA,2,740.7556049,2.869674946,755.571,2.878275281,0.0001323502358,-3.878275281,1114,NA,0.1,-1,0.0001349972911,-3.869674946,0.05462182614,-0.005157013827,0.01509569595,0.0239646419,-0.06170694666,44.15220969
G07,175,দুর্নীতি,Gramm,G07,8,a,দুর্নীতি,362,200,17178,126.4278282,দুর্নীতি,d̪urnit̪i,7,10,3,8,8,নীতি,NA,NA,1.566666667,732.6014922,2.864867799,791.21,2.898291768,0.0001263886958,-3.898291768,5729,NA,0.1,-1,0.0001364998585,-3.864867799,0.04779409787,0.0550905782,-0.03350726196,0.06931534168,0.004574608623,50.69306372
S01,229,দুর্নাক,SemViol,S01,7,a,দুর্নাক,328,200,12844,121.9387724,দুর্নাক,d̪urnak,6,8,3,7,7,নাক,NA,NA,6.5,691.0320742,2.839498206,677.211,2.830724004,0.000147664465,-3.830724004,11673,NA,0.1,-1,0.0001447110832,-3.839498206,0.0409663696,0.05573520493,0.01142901567,0.07655133134,-0.02805775148,37.5751829
G08,176,প্রতিকল্প,Gramm,G08,9,a,প্রতিকল্প,445,158,17990,127.0063432,প্রতিকল্প,prot̪ikɔlpo,10,12,4,9,9,কল্প,NA,NA,2.1,675.9707658,2.829927914,662.451,2.82115376,0.0001509545612,-3.82115376,6798,NA,0.1,-1,0.0001479353917,-3.829927914,0.06827728267,-0.06604923258,-0.07488410302,0.01118848644,-0.01290321845,52.50751493
F06,82,বইগুলি,Filler,F06,6,a,বইগুলি,391,200,16254,128.4831159,বইগুলি,bo͡i̯guli,7,9,4,6,6,বই,NA,NA,6.666666667,662.6654891,2.821294354,662.665,2.821294033,0.0001509058121,-3.821294033,4605,NA,0.1,-1,0.0001509057008,-3.821294354,0.04779409787,-0.0641153524,0.05992472988,0.08369784651,-0.04975064433,48.66155585
C04,4,প্রতিভালো,CatViol,C04,9,a,প্রতিভালো,562,160,21617,125.2599477,প্রতিভালো,prot̪ibʱalo,9,11,4,9,9,ভালো,NA,NA,NA,658.8129813,2.818762148,612.696,2.787245045,0.0001632130779,-3.787245045,1595,NA,0.1,-1,0.0001517881445,-3.818762148,0.06144955441,-0.005801640555,-0.02984058168,-0.004421063665,0.1181216959,63.30861086
C05,5,প্রতিলাল,CatViol,C05,8,a,প্রতিলাল,465,158,17549,127.7168593,প্রতিলাল,prot̪ilal,8,9,4,8,8,লাল,Adj/N,NA,NA,656.5271393,2.817252684,617.136,2.790380881,0.0001620388375,-3.790380881,10953,NA,0.1,-1,0.0001523166279,-3.817252684,0.05462182614,-0.005157013827,0.01509569595,0.0264274943,0.0115920156,51.03128553
S02,230,প্রতিছেলে,SemViol,S02,9,a,প্রতিছেলে,503,160,19526,124.9189059,প্রতিছেলে,prot̪icʰele,9,12,4,9,9,ছেলে,NA,NA,6.666666667,641.5444747,2.807226769,577.39,2.761469258,0.0001731931623,-3.761469258,1618,NA,0.1,-1,0.0001558738387,-3.807226769,0.06144955441,-0.005801640555,-0.02984058168,-0.005580423094,0.04731035286,57.00593265
G09,177,প্রতিক্রম,Gramm,G09,9,a,প্রতিক্রম,466,158,17747,125.2736705,প্রতিক্রম,prot̪ikrom,9,9,4,9,9,ক্রম,NA,NA,2.266666667,634.8483753,2.802670012,666.591,2.823859446,0.0001500170269,-3.823859446,7536,NA,0.1,-1,0.0001575179269,-3.802670012,0.06144955441,-0.005801640555,-0.02984058168,-0.004374413496,0.003036629114,51.29771236
