ItemNo,Condition,ITEMNO,length,noise,stim,width,height,blackPx,luminance,Word,WordPhonetic,WordLenPhonemic,WordLenPhonetic,WordLength,WordLenUnicode,WordLenXlsx,Stem,CatViolPOS,SpellingStem,CRating,stemFreq_old,log_stemFreq_old,stemFreq_new,log_stemFreq_new,Types,Exclude,wordFreq_old,log_wordFreq_old,TP_old,log_TP_old,WLp_O,WLc_O,WLa_O,Luminance_O,Width_O,complexity
G01,Gramm,G01,7,a,দুর্নাম,309,200,12253,129.1549752,দুর্নাম,d̪urnam,6,8,4,7,7,নাম,,,2.666666667,2313.882616,3.36434132327756,1966.8,3.29376019961812,19634,NA,0.1,-1,4.32174040759551E-05,-4.36434132327755,0.0409663696040342,0.0557352049289555,0.10507549492883,0.0441399517295619,-0.17473726264205,35.6526880841215
G02,Gramm,G02,8,a,দুর্ঘটনা,388,200,15676,127.3249532,দুর্ঘটনা,d̪urgʱɔtona,9,12,4,8,8,ঘটনা,,,2.4,1517.89842,3.18124270890493,1502.719,3.17687777755378,2068,NA,0.1,-1,6.58805613619388E-05,-4.18124270890493,0.0614495544060513,-0.0654046058538652,-0.0299478253895282,0.0347679644208138,-0.0719810436890914,45.4137858015593
F04,Filler,F04,7,a,মানুষজন,517,200,19816,120.6349601,মানুষজন,manuʃɟɔn,8,8,5,7,7,মানুষ,,,6.333333333,1438.937015,3.15804178446016,1410.158,3.14926777555172,3117,NA,0.1,-1,6.9495745093471E-05,-4.15804178446016,0.0546218261387122,-0.0647599791255382,0.108634931497236,-0.0224206572498969,-0.0353137550649558,54.7687410039387
F05,Filler,F05,7,a,ঘরবাড়ি,466,169,17778,130.1158271,ঘরবাড়ি,gʱɔrbaɽi,7,8,4,7,7,বাড়ি,,,6.733333333,1205.721114,3.08124686613141,1193.664,3.07688209607171,8644,NA,0.1,-1,8.29379189257525E-05,-4.08124686613141,0.0477940978713732,-0.00451238709829112,0.0600319735860601,0.0570790743937719,0.0225347014578836,51.3395597980861
C01,CatViol,C01,7,a,প্রতিটক,433,158,17477,124.3712428,প্রতিটক,prot̪itɔk,8,9,4,7,7,টক,,,NA,1115.869622,3.04761345467888,1004.283,3.00185611123511,19408,NA,0.1,-1,8.96162042844823E-05,-4.04761345467888,0.0546218261387122,-0.0647599791255382,0.0149884522432894,0.0472233059777561,-0.00954517777160147,50.7336273312357
G03,Gramm,G03,9,a,প্রতিপক্ষ,454,158,17605,125.7319405,প্রতিপক্ষ,prot̪ipɔkkʰo,10,13,4,9,9,পক্ষ,,,1.833333333,1076.558107,3.03203747574651,925.84,2.96653594011498,5453,NA,0.1,-1,9.2888622871148E-05,-4.03203747574651,0.0682772826733903,-0.0660492325821932,-0.0748841030223473,0.00685619993400478,-0.00241263778912408,51.2132491455177
C02,CatViol,C02,9,a,দুর্ভিন্ন,325,200,14764,121.0706524,দুর্ভিন্ন,d̪urbʱinno,8,10,3,9,9,ভিন্ন,,,NA,1041.088752,3.01748775435287,884.925,2.94690646452111,2329,NA,0.1,-1,9.60532901809701E-05,-4.01748775435287,0.0546218261387122,0.0544459514723002,-0.0784435395907539,0.0286074390562959,-0.0502201133547304,46.6204164294714
C03,CatViol,C03,7,a,দুর্মৃত,286,200,12330,129.8984985,দুর্মৃত,d̪urmrit̪o,8,10,3,7,7,মৃত,Adj,,NA,918.5059478,2.96308197293182,1010.357,3.00447485470869,10259,NA,0.1,-1,0.000108872457755466,-3.96308197293182,0.0546218261387122,-0.0647599791255382,-0.0786580270106576,0.122955618008523,-0.0588831662014989,37.2782124771713
G04,Gramm,G04,8,a,প্রতিদান,455,158,17134,128.9302147,প্রতিদান,prot̪id̪an,8,11,4,8,8,দান,,,2.766666667,904.4194078,2.95636987323326,786.845,2.89588918944358,15774,NA,0.1,-1,0.000110568171290408,-3.95636987323326,0.0546218261387122,-0.00515701382661901,0.0150956959532413,0.0305522526888435,-0.000111721689975519,50.2003714000902
G05,Gramm,G05,9,a,প্রতিরোধ,504,160,19669,126.166496,প্রতিরোধ,prot̪irod̪ʱ,8,15,4,9,9,রোধ,,,2.6,741.5451465,2.8701375967386,719.299,2.85690945652658,7606,NA,0.1,-1,0.000134853556080823,-3.8701375967386,0.0546218261387122,0.0544459514723002,0.0152029396631932,-0.01101202598654,0.0399725766583878,57.6454544878415
