Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-mcsp,Randomise questionnaire elements?,Question Key,Response
1,1662134925311,02/09/2022 16:08:45,1662134925672,2,02/09/2022 18:08:45,80062,4,questionnaire-99dv,,23955113,h0x0auyk,7062597,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 104.0.0.0,1366x768,1366x625,,,,debriefing _lexical decision_BAN,4,"YES=right arrow,",No,BEGIN QUESTIONNAIRE,
2,1662134944696,02/09/2022 16:09:04,1662134945100,2,02/09/2022 18:09:05,80062,4,questionnaire-99dv,,23955113,h0x0auyk,7062597,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 104.0.0.0,1366x768,1349x625,,,,debriefing _lexical decision_BAN,4,"YES=right arrow,",No,comment,No Comments
3,1662134944798,02/09/2022 16:09:04,1662134945102,2,02/09/2022 18:09:05,80062,4,questionnaire-99dv,,23955113,h0x0auyk,7062597,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 104.0.0.0,1366x768,1349x625,,,,debriefing _lexical decision_BAN,4,"YES=right arrow,",No,END QUESTIONNAIRE,19430
1,1671543809999,20/12/2022 13:43:29,1671543809571,11,21/12/2022 00:43:29,80062,4,questionnaire-99dv,,26045720,v0y6xu43,7690385,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x960,1536x810,,,,debriefing _lexical decision_BAN,4,"YES=right arrow,",No,BEGIN QUESTIONNAIRE,
2,1671543815372,20/12/2022 13:43:35,1671543815002,11,21/12/2022 00:43:35,80062,4,questionnaire-99dv,,26045720,v0y6xu43,7690385,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x960,1519x810,,,,debriefing _lexical decision_BAN,4,"YES=right arrow,",No,comment,
3,1671543815697,20/12/2022 13:43:35,1671543815003,11,21/12/2022 00:43:35,80062,4,questionnaire-99dv,,26045720,v0y6xu43,7690385,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x960,1519x810,,,,debriefing _lexical decision_BAN,4,"YES=right arrow,",No,END QUESTIONNAIRE,5432
1,1674369399103,22/01/2023 06:36:39,1674369399315,-5,22/01/2023 01:36:39,80062,4,questionnaire-99dv,,26538926,gvnybaqj,7843222,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 109.0.1518.55,1920x1080,1884x900,,,,debriefing _lexical decision_BAN,4,"YES=right arrow,",No,BEGIN QUESTIONNAIRE,
2,1674369421859,22/01/2023 06:37:01,1674369422111,-5,22/01/2023 01:37:02,80062,4,questionnaire-99dv,,26538926,gvnybaqj,7843222,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 109.0.1518.55,1920x1080,1903x937,,,,debriefing _lexical decision_BAN,4,"YES=right arrow,",No,comment,
3,1674369421979,22/01/2023 06:37:01,1674369422113,-5,22/01/2023 01:37:02,80062,4,questionnaire-99dv,,26538926,gvnybaqj,7843222,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 109.0.1518.55,1920x1080,1903x937,,,,debriefing _lexical decision_BAN,4,"YES=right arrow,",No,END QUESTIONNAIRE,22798
1,1674503035374,23/01/2023 19:43:55,1674503033267,-5,23/01/2023 14:43:53,80062,4,questionnaire-99dv,,26575188,5im68qfu,7856465,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 108.0.0.0,1440x900,1218x724,,,,debriefing _lexical decision_BAN,4,"YES=right arrow,",No,BEGIN QUESTIONNAIRE,
