Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-mcsp,Randomise questionnaire elements?,Question Key,Response
1,1678170386901,07/03/2023 06:26:26,1678170384580,0,07/03/2023 06:26:24,80062,4,questionnaire-nvwz,,27885452,y3gkn5f5,8282652,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 110.0.0.0,1536x864,1536x746,,,,Consent form,3,"YES=right arrow,",No,BEGIN QUESTIONNAIRE,
2,1678170394864,07/03/2023 06:26:34,1678170392356,0,07/03/2023 06:26:32,80062,4,questionnaire-nvwz,,27885452,y3gkn5f5,8282652,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 110.0.0.0,1536x864,1536x746,,,,Consent form,3,"YES=right arrow,",No,consent,1
3,1678170395027,07/03/2023 06:26:35,1678170392358,0,07/03/2023 06:26:32,80062,4,questionnaire-nvwz,,27885452,y3gkn5f5,8282652,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 110.0.0.0,1536x864,1536x746,,,,Consent form,3,"YES=right arrow,",No,END QUESTIONNAIRE,7779
1,1677793935070,02/03/2023 21:52:15,1677793934859,-5,02/03/2023 16:52:14,80062,4,questionnaire-nvwz,,27755908,em4j59ow,8248485,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1280x720,1266x591,,,,Consent form,3,"YES=right arrow,",No,BEGIN QUESTIONNAIRE,
2,1677793949066,02/03/2023 21:52:29,1677793948822,-5,02/03/2023 16:52:28,80062,4,questionnaire-nvwz,,27755908,em4j59ow,8248485,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1280x720,1249x591,,,,Consent form,3,"YES=right arrow,",No,consent,1
3,1677793949187,02/03/2023 21:52:29,1677793948824,-5,02/03/2023 16:52:28,80062,4,questionnaire-nvwz,,27755908,em4j59ow,8248485,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1280x720,1249x591,,,,Consent form,3,"YES=right arrow,",No,END QUESTIONNAIRE,13965
1,1676584413101,16/02/2023 21:53:33,1676584413797,-6,16/02/2023 15:53:33,80062,4,questionnaire-nvwz,,27276134,qw3e6bqr,8107650,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1280x720,1280x569,,,,Consent form,3,"YES=right arrow,",No,BEGIN QUESTIONNAIRE,
2,1676584432974,16/02/2023 21:53:52,1676584433712,-6,16/02/2023 15:53:53,80062,4,questionnaire-nvwz,,27276134,qw3e6bqr,8107650,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1280x720,1263x569,,,,Consent form,3,"YES=right arrow,",No,consent,1
3,1676584433219,16/02/2023 21:53:53,1676584433715,-6,16/02/2023 15:53:53,80062,4,questionnaire-nvwz,,27276134,qw3e6bqr,8107650,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1280x720,1263x569,,,,Consent form,3,"YES=right arrow,",No,END QUESTIONNAIRE,19918
1,1676977644787,21/02/2023 11:07:24,1676977643605,0,21/02/2023 11:07:23,80062,4,questionnaire-nvwz,,27399417,au5pchsq,8142456,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 108.0.0.0,1280x800,1280x636,,,,Consent form,3,"YES=right arrow,",No,BEGIN QUESTIONNAIRE,
2,1676977685443,21/02/2023 11:08:05,1676977684189,0,21/02/2023 11:08:04,80062,4,questionnaire-nvwz,,27399417,au5pchsq,8142456,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 108.0.0.0,1280x800,1265x636,,,,Consent form,3,"YES=right arrow,",No,consent,1
3,1676977686085,21/02/2023 11:08:06,1676977684191,0,21/02/2023 11:08:04,80062,4,questionnaire-nvwz,,27399417,au5pchsq,8142456,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 108.0.0.0,1280x800,1265x636,,,,Consent form,3,"YES=right arrow,",No,END QUESTIONNAIRE,40586
1,1677545947803,28/02/2023 00:59:07,1677545946356,0,28/02/2023 00:59:06,80062,4,questionnaire-nvwz,,27613739,205fbu5c,8210449,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1512x982,1512x893,,,,Consent form,3,"YES=right arrow,",No,BEGIN QUESTIONNAIRE,
2,1677545952666,28/02/2023 00:59:12,1677545951269,0,28/02/2023 00:59:11,80062,4,questionnaire-nvwz,,27613739,205fbu5c,8210449,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1512x982,1512x893,,,,Consent form,3,"YES=right arrow,",No,consent,1
3,1677545952747,28/02/2023 00:59:12,1677545951271,0,28/02/2023 00:59:11,80062,4,questionnaire-nvwz,,27613739,205fbu5c,8210449,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1512x982,1512x893,,,,Consent form,3,"YES=right arrow,",No,END QUESTIONNAIRE,4915
