Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-mcsp,branch-ueq1,branch-rtul,Randomise questionnaire elements?,Question Key,Response
1,1650782563713,24/04/2022 06:42:43,1650782563543,-7,23/04/2022 23:42:43,85779,6,questionnaire-mfi8,,21465246,9gsobd0n,6347527,,complete,hcgzqj,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 100.0.4896.127,1440x900,1440x624,,Quality Control Questions Ban,3,"YES=right arrow,",Passed,Passed,No,BEGIN QUESTIONNAIRE,
2,1650782576824,24/04/2022 06:42:56,1650782576696,-7,23/04/2022 23:42:56,85779,6,questionnaire-mfi8,,21465246,9gsobd0n,6347527,,complete,hcgzqj,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 100.0.4896.127,1440x900,1440x624,,Quality Control Questions Ban,3,"YES=right arrow,",Passed,Passed,No,antonyms,অভিশাপ/সাহসী/শত্রু
3,1650782577059,24/04/2022 06:42:57,1650782576698,-7,23/04/2022 23:42:56,85779,6,questionnaire-mfi8,,21465246,9gsobd0n,6347527,,complete,hcgzqj,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 100.0.4896.127,1440x900,1440x624,,Quality Control Questions Ban,3,"YES=right arrow,",Passed,Passed,No,antonyms-quantised,3
4,1650782577059,24/04/2022 06:42:57,1650782576698,-7,23/04/2022 23:42:56,85779,6,questionnaire-mfi8,,21465246,9gsobd0n,6347527,,complete,hcgzqj,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 100.0.4896.127,1440x900,1440x624,,Quality Control Questions Ban,3,"YES=right arrow,",Passed,Passed,No,END QUESTIONNAIRE,13155
1,1650822778036,24/04/2022 17:52:58,1650822782691,5.5,24/04/2022 23:23:02,85779,6,questionnaire-mfi8,,21470690,hcsbnsg9,6349078,,complete,rfweun,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1440x900,1440x789,,Quality Control Questions Ban,3,"YES=left arrow,",Passed,Passed,No,BEGIN QUESTIONNAIRE,
2,1650822786747,24/04/2022 17:53:06,1650822791441,5.5,24/04/2022 23:23:11,85779,6,questionnaire-mfi8,,21470690,hcsbnsg9,6349078,,complete,rfweun,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1440x900,1440x789,,Quality Control Questions Ban,3,"YES=left arrow,",Passed,Passed,No,antonyms,অভিশাপ/সাহসী/শত্রু
3,1650822786974,24/04/2022 17:53:06,1650822791443,5.5,24/04/2022 23:23:11,85779,6,questionnaire-mfi8,,21470690,hcsbnsg9,6349078,,complete,rfweun,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1440x900,1440x789,,Quality Control Questions Ban,3,"YES=left arrow,",Passed,Passed,No,antonyms-quantised,3
4,1650822786974,24/04/2022 17:53:06,1650822791443,5.5,24/04/2022 23:23:11,85779,6,questionnaire-mfi8,,21470690,hcsbnsg9,6349078,,complete,rfweun,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1440x900,1440x789,,Quality Control Questions Ban,3,"YES=left arrow,",Passed,Passed,No,END QUESTIONNAIRE,8752
1,1651056627377,27/04/2022 10:50:27,1651056628125,5.5,27/04/2022 16:20:28,85779,6,questionnaire-mfi8,,21537551,ciqcf68n,6367322,,complete,knowyy,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1366x768,1366x625,,Quality Control Questions Ban,3,"YES=left arrow,",Passed,Passed,No,BEGIN QUESTIONNAIRE,
2,1651056632424,27/04/2022 10:50:32,1651056633199,5.5,27/04/2022 16:20:33,85779,6,questionnaire-mfi8,,21537551,ciqcf68n,6367322,,complete,knowyy,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1366x768,1366x625,,Quality Control Questions Ban,3,"YES=left arrow,",Passed,Passed,No,antonyms,অভিশাপ/সাহসী/শত্রু
3,1651056632668,27/04/2022 10:50:32,1651056633204,5.5,27/04/2022 16:20:33,85779,6,questionnaire-mfi8,,21537551,ciqcf68n,6367322,,complete,knowyy,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1366x768,1366x625,,Quality Control Questions Ban,3,"YES=left arrow,",Passed,Passed,No,antonyms-quantised,3
4,1651056632668,27/04/2022 10:50:32,1651056633205,5.5,27/04/2022 16:20:33,85779,6,questionnaire-mfi8,,21537551,ciqcf68n,6367322,,complete,knowyy,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1366x768,1366x625,,Quality Control Questions Ban,3,"YES=left arrow,",Passed,Passed,No,END QUESTIONNAIRE,5081
1,1651065298902,27/04/2022 13:14:58,1651065295270,5.5,27/04/2022 18:44:55,85779,6,questionnaire-mfi8,,21541801,5ej4ne8l,6368475,,complete,opkjjc,,computer,Desktop or Laptop,Windows 7,Firefox 99.0,1366x768,1366x643,,Quality Control Questions Ban,3,"YES=left arrow,",Passed,Passed,No,BEGIN QUESTIONNAIRE,
2,1651065308513,27/04/2022 13:15:08,1651065304972,5.5,27/04/2022 18:45:04,85779,6,questionnaire-mfi8,,21541801,5ej4ne8l,6368475,,complete,opkjjc,,computer,Desktop or Laptop,Windows 7,Firefox 99.0,1366x768,1366x643,,Quality Control Questions Ban,3,"YES=left arrow,",Passed,Passed,No,antonyms,অভিশাপ/সাহসী/শত্রু
3,1651065308810,27/04/2022 13:15:08,1651065304975,5.5,27/04/2022 18:45:04,85779,6,questionnaire-mfi8,,21541801,5ej4ne8l,6368475,,complete,opkjjc,,computer,Desktop or Laptop,Windows 7,Firefox 99.0,1366x768,1366x643,,Quality Control Questions Ban,3,"YES=left arrow,",Passed,Passed,No,antonyms-quantised,3
4,1651065308810,27/04/2022 13:15:08,1651065304975,5.5,27/04/2022 18:45:04,85779,6,questionnaire-mfi8,,21541801,5ej4ne8l,6368475,,complete,opkjjc,,computer,Desktop or Laptop,Windows 7,Firefox 99.0,1366x768,1366x643,,Quality Control Questions Ban,3,"YES=left arrow,",Passed,Passed,No,END QUESTIONNAIRE,9705
1,1651065718651,27/04/2022 13:21:58,1651065717834,5.5,27/04/2022 18:51:57,85779,6,questionnaire-mfi8,,21541980,fli32ulj,6368527,,complete,sczdkx,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1600x900,1600x757,,Quality Control Questions Ban,3,"YES=left arrow,",Passed,Passed,No,BEGIN QUESTIONNAIRE,
2,1651065724640,27/04/2022 13:22:04,1651065723596,5.5,27/04/2022 18:52:03,85779,6,questionnaire-mfi8,,21541980,fli32ulj,6368527,,complete,sczdkx,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1600x900,1600x757,,Quality Control Questions Ban,3,"YES=left arrow,",Passed,Passed,No,antonyms,অভিশাপ/সাহসী/শত্রু
3,1651065725444,27/04/2022 13:22:05,1651065723598,5.5,27/04/2022 18:52:03,85779,6,questionnaire-mfi8,,21541980,fli32ulj,6368527,,complete,sczdkx,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1600x900,1600x757,,Quality Control Questions Ban,3,"YES=left arrow,",Passed,Passed,No,antonyms-quantised,3
4,1651065725444,27/04/2022 13:22:05,1651065723600,5.5,27/04/2022 18:52:03,85779,6,questionnaire-mfi8,,21541980,fli32ulj,6368527,,complete,sczdkx,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1600x900,1600x757,,Quality Control Questions Ban,3,"YES=left arrow,",Passed,Passed,No,END QUESTIONNAIRE,5766
