Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-mcsp,branch-ueq1,branch-rtul,Randomise questionnaire elements?,Question Key,Response
1,1650782531386,24/04/2022 06:42:11,1650782531215,-7,23/04/2022 23:42:11,85779,6,questionnaire-nvwz,,21465242,9gsobd0n,6347527,,complete,hcgzqj,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 100.0.4896.127,1440x900,1440x624,,Consent form,3,"YES=right arrow,",Passed,Passed,No,BEGIN QUESTIONNAIRE,
2,1650782561297,24/04/2022 06:42:41,1650782561169,-7,23/04/2022 23:42:41,85779,6,questionnaire-nvwz,,21465242,9gsobd0n,6347527,,complete,hcgzqj,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 100.0.4896.127,1440x900,1440x624,,Consent form,3,"YES=right arrow,",Passed,Passed,No,consent,1
3,1650782561484,24/04/2022 06:42:41,1650782561171,-7,23/04/2022 23:42:41,85779,6,questionnaire-nvwz,,21465242,9gsobd0n,6347527,,complete,hcgzqj,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 100.0.4896.127,1440x900,1440x624,,Consent form,3,"YES=right arrow,",Passed,Passed,No,END QUESTIONNAIRE,29956
1,1650822698599,24/04/2022 17:51:38,1650822703277,5.5,24/04/2022 23:21:43,85779,6,questionnaire-nvwz,,21470670,hcsbnsg9,6349078,,complete,rfweun,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1440x900,1440x789,,Consent form,3,"YES=left arrow,",Passed,Passed,No,BEGIN QUESTIONNAIRE,
2,1650822775547,24/04/2022 17:52:55,1650822780271,5.5,24/04/2022 23:23:00,85779,6,questionnaire-nvwz,,21470670,hcsbnsg9,6349078,,complete,rfweun,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1440x900,1423x789,,Consent form,3,"YES=left arrow,",Passed,Passed,No,consent,1
3,1650822775788,24/04/2022 17:52:55,1650822780272,5.5,24/04/2022 23:23:00,85779,6,questionnaire-nvwz,,21470670,hcsbnsg9,6349078,,complete,rfweun,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1440x900,1423x789,,Consent form,3,"YES=left arrow,",Passed,Passed,No,END QUESTIONNAIRE,76995
1,1650824472048,24/04/2022 18:21:12,1650824472736,5.5,24/04/2022 23:51:12,85779,6,questionnaire-nvwz,,21471251,29ul1k1i,6349170,,complete,dbfnqe,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.88,1366x768,1366x625,,Consent form,3,"YES=right arrow,",Passed,Passed,No,BEGIN QUESTIONNAIRE,
2,1650824488510,24/04/2022 18:21:28,1650824489258,5.5,24/04/2022 23:51:29,85779,6,questionnaire-nvwz,,21471251,29ul1k1i,6349170,,complete,dbfnqe,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.88,1366x768,1349x625,,Consent form,3,"YES=right arrow,",Passed,Passed,No,consent,1
3,1650824488748,24/04/2022 18:21:28,1650824489259,5.5,24/04/2022 23:51:29,85779,6,questionnaire-nvwz,,21471251,29ul1k1i,6349170,,complete,dbfnqe,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.88,1366x768,1349x625,,Consent form,3,"YES=right arrow,",Passed,Passed,No,END QUESTIONNAIRE,16523
1,1651065276217,27/04/2022 13:14:36,1651065272622,5.5,27/04/2022 18:44:32,85779,6,questionnaire-nvwz,,21541792,5ej4ne8l,6368475,,complete,opkjjc,,computer,Desktop or Laptop,Windows 7,Firefox 99.0,1366x768,1366x643,,Consent form,3,"YES=left arrow,",Passed,Passed,No,BEGIN QUESTIONNAIRE,
