Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-mcsp,branch-ueq1,branch-rtul,Randomise questionnaire elements?,Question Key,Response
1,1650782579581,24/04/2022 06:42:59,1650782579418,-7,23/04/2022 23:42:59,85779,6,questionnaire-jtge,,21465247,9gsobd0n,6347527,,complete,hcgzqj,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 100.0.4896.127,1440x900,1440x624,,Quality Control Questions Ban II,2,"YES=right arrow,",Passed,Passed,No,BEGIN QUESTIONNAIRE,
2,1650782585775,24/04/2022 06:43:05,1650782585655,-7,23/04/2022 23:43:05,85779,6,questionnaire-jtge,,21465247,9gsobd0n,6347527,,complete,hcgzqj,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 100.0.4896.127,1440x900,1440x624,,Quality Control Questions Ban II,2,"YES=right arrow,",Passed,Passed,No,antonyms,রবীন্দ্রনাথ ঠাকুর
3,1650782585955,24/04/2022 06:43:05,1650782585656,-7,23/04/2022 23:43:05,85779,6,questionnaire-jtge,,21465247,9gsobd0n,6347527,,complete,hcgzqj,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 100.0.4896.127,1440x900,1440x624,,Quality Control Questions Ban II,2,"YES=right arrow,",Passed,Passed,No,antonyms-quantised,2
4,1650782585955,24/04/2022 06:43:05,1650782585656,-7,23/04/2022 23:43:05,85779,6,questionnaire-jtge,,21465247,9gsobd0n,6347527,,complete,hcgzqj,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 100.0.4896.127,1440x900,1440x624,,Quality Control Questions Ban II,2,"YES=right arrow,",Passed,Passed,No,END QUESTIONNAIRE,6238
1,1650812985182,24/04/2022 15:09:45,1650812984703,5.5,24/04/2022 20:39:44,85779,6,questionnaire-jtge,,21469085,zl7a6z8g,6348692,,complete,gouvcq,,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1536x864,1536x722,,Quality Control Questions Ban II,2,"YES=left arrow,",Passed,Passed,No,BEGIN QUESTIONNAIRE,
2,1650812994394,24/04/2022 15:09:54,1650812993964,5.5,24/04/2022 20:39:53,85779,6,questionnaire-jtge,,21469085,zl7a6z8g,6348692,,complete,gouvcq,,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1536x864,1536x722,,Quality Control Questions Ban II,2,"YES=left arrow,",Passed,Passed,No,antonyms,রবীন্দ্রনাথ ঠাকুর
3,1650812994584,24/04/2022 15:09:54,1650812993965,5.5,24/04/2022 20:39:53,85779,6,questionnaire-jtge,,21469085,zl7a6z8g,6348692,,complete,gouvcq,,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1536x864,1536x722,,Quality Control Questions Ban II,2,"YES=left arrow,",Passed,Passed,No,antonyms-quantised,2
4,1650812994584,24/04/2022 15:09:54,1650812993965,5.5,24/04/2022 20:39:53,85779,6,questionnaire-jtge,,21469085,zl7a6z8g,6348692,,complete,gouvcq,,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1536x864,1536x722,,Quality Control Questions Ban II,2,"YES=left arrow,",Passed,Passed,No,END QUESTIONNAIRE,9262
1,1650822789404,24/04/2022 17:53:09,1650822794058,5.5,24/04/2022 23:23:14,85779,6,questionnaire-jtge,,21470692,hcsbnsg9,6349078,,complete,rfweun,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1440x900,1440x789,,Quality Control Questions Ban II,2,"YES=left arrow,",Passed,Passed,No,BEGIN QUESTIONNAIRE,
2,1650822794182,24/04/2022 17:53:14,1650822798881,5.5,24/04/2022 23:23:18,85779,6,questionnaire-jtge,,21470692,hcsbnsg9,6349078,,complete,rfweun,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1440x900,1440x789,,Quality Control Questions Ban II,2,"YES=left arrow,",Passed,Passed,No,antonyms,রবীন্দ্রনাথ ঠাকুর
