Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-mcsp,branch-ueq1,branch-rtul,Randomise questionnaire elements?,Question Key,Response
1,1650783390702,24/04/2022 06:56:30,1650783390539,-7,23/04/2022 23:56:30,85779,6,questionnaire-99dv,,21465315,9gsobd0n,6347527,,complete,hcgzqj,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 100.0.4896.127,1440x900,1440x624,,debriefing _lexical decision_BAN,4,"YES=right arrow,",Passed,Passed,No,BEGIN QUESTIONNAIRE,
2,1650783417690,24/04/2022 06:56:57,1650783417570,-7,23/04/2022 23:56:57,85779,6,questionnaire-99dv,,21465315,9gsobd0n,6347527,,complete,hcgzqj,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 100.0.4896.127,1440x900,1440x624,,debriefing _lexical decision_BAN,4,"YES=right arrow,",Passed,Passed,No,comment,
3,1650783417958,24/04/2022 06:56:57,1650783417572,-7,23/04/2022 23:56:57,85779,6,questionnaire-99dv,,21465315,9gsobd0n,6347527,,complete,hcgzqj,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 100.0.4896.127,1440x900,1440x624,,debriefing _lexical decision_BAN,4,"YES=right arrow,",Passed,Passed,No,END QUESTIONNAIRE,27033
1,1650825234391,24/04/2022 18:33:54,1650825235098,5.5,25/04/2022 00:03:55,85779,6,questionnaire-99dv,,21471499,29ul1k1i,6349170,,complete,dbfnqe,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.88,1366x768,1366x625,,debriefing _lexical decision_BAN,4,"YES=right arrow,",Passed,Passed,No,BEGIN QUESTIONNAIRE,
2,1650825286278,24/04/2022 18:34:46,1650825287057,5.5,25/04/2022 00:04:47,85779,6,questionnaire-99dv,,21471499,29ul1k1i,6349170,,complete,dbfnqe,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.88,1366x768,1349x625,,debriefing _lexical decision_BAN,4,"YES=right arrow,",Passed,Passed,No,comment,
3,1650825286543,24/04/2022 18:34:46,1650825287058,5.5,25/04/2022 00:04:47,85779,6,questionnaire-99dv,,21471499,29ul1k1i,6349170,,complete,dbfnqe,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.88,1366x768,1349x625,,debriefing _lexical decision_BAN,4,"YES=right arrow,",Passed,Passed,No,END QUESTIONNAIRE,51960
1,1651057387864,27/04/2022 11:03:07,1651057388615,5.5,27/04/2022 16:33:08,85779,6,questionnaire-99dv,,21537780,ciqcf68n,6367322,,complete,knowyy,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1366x768,1366x625,,debriefing _lexical decision_BAN,4,"YES=left arrow,",Passed,Passed,No,BEGIN QUESTIONNAIRE,
2,1651057407724,27/04/2022 11:03:27,1651057408543,5.5,27/04/2022 16:33:28,85779,6,questionnaire-99dv,,21537780,ciqcf68n,6367322,,complete,knowyy,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1366x768,1349x625,,debriefing _lexical decision_BAN,4,"YES=left arrow,",Passed,Passed,No,comment,
3,1651057407950,27/04/2022 11:03:27,1651057408547,5.5,27/04/2022 16:33:28,85779,6,questionnaire-99dv,,21537780,ciqcf68n,6367322,,complete,knowyy,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1366x768,1349x625,,debriefing _lexical decision_BAN,4,"YES=left arrow,",Passed,Passed,No,END QUESTIONNAIRE,19933
1,1651066291596,27/04/2022 13:31:31,1651066288005,5.5,27/04/2022 19:01:28,85779,6,questionnaire-99dv,,21542212,5ej4ne8l,6368475,,complete,opkjjc,,computer,Desktop or Laptop,Windows 7,Firefox 99.0,1366x768,1366x643,,debriefing _lexical decision_BAN,4,"YES=left arrow,",Passed,Passed,No,BEGIN QUESTIONNAIRE,
